parameter_shortname;parameter_description_de;parameter_description_fr;parameter_description_it;parameter_description_en;parameter_group_de;parameter_group_fr;parameter_group_it;parameter_group_en;parameter_granularity;parameter_decimals;parameter_datatype;parameter_unit
dkl010h0;"Windrichtung; Stundenmittel";"Direction du vent; moyenne horaire";"Direzione del vento; media oraria";"Wind direction; hourly mean";Wind;vent;vento;wind;H;0;Integer;°
fu3010h0;"Windgeschwindigkeit skalar; Stundenmittel in km/h";"Vitesse du vent scalaire; moyenne horaire en km/h";"Velocità del vento scalare; media oraria in km/h";"Wind speed scalar; hourly mean in km/h";Wind;vent;vento;wind;H;1;Float;km/h
fu3010h1;"Böenspitze (Sekundenböe); Stundenmaximum in km/h";"Rafale (intégration 1 s); maximum horaire en km/h";"Raffica del vento (su un secondo); massima oraria in km/h";"Gust peak (one second); hourly maximum in km/h";Wind;vent;vento;wind;H;1;Float;km/h
fu3q10h0;"Windgeschwindigkeit;  Stundenmittel, 10% Quantil in km/h";"Vitesse du vent; moyenne horaire, quantil 10% en km/h";"Velocità del vento; media oraria, quantile 10% in km/h";"Wind speed; hourly mean, 10% quantile in km/h";Wind;vent;vento;wind;H;1;Float;km/h
fu3q10h1;"Böenspitze; Stundenmaximum, 10% Quantil in km/h";"Rafale; maximum horaire, quantil 10% en km/h";"Raffica del vento; massima oraria, quantile 10% in km/h";"Gust peak; hourly maximum, 10% quantile in km/h";Wind;vent;vento;wind;H;1;Float;km/h
fu3q90h0;"Windgeschwindigkeit;  Stundenmittel, 90% Quantil in km/h";"Vitesse du vent; moyenne horaire, quantil 90% en km/h";"Velocità del vento; media oraria, quantile 90% in km/h";"Wind speed; hourly mean, 90% quantile in km/h";Wind;vent;vento;wind;H;1;Float;km/h
fu3q90h1;"Böenspitze; Stundenmaximum, 90% Quantil in km/h";"Rafale; maximum horaire, quantil 90% en km/h";"Raffica del vento; massima oraria, quantile 90% in km/h";"Gust peak; hourly maximum, 90% quantile in km/h";Wind;vent;vento;wind;H;1;Float;km/h
gre000h0;"Globalstrahlung; Stundenmittel";"rayonnement global; moyenne horaire";"Radiazione globale; media oraria";"Global radiation; hourly mean";Strahlung;rayonnement;radiazione;radiation;H;0;Integer;W/m²
jp2000d0;"MeteoSchweiz-Piktogramm-Nummer; Tageswert (gültig tagsüber)";Numéro du pictogramme MétéoSuisse, valeur journalière (valable pour la journée);Numero del pittogramma di MeteoSvizzera, valore giornaliero (valido per il giorno);MeteoSwiss pictogram number, daily value (valid for daytime period);Grafik;Graphique;Grafica;Graphics;D;0;Integer;Code
jww003i0;"MeteoSchweiz-Piktogramm-Nummer; über 3 Stunden";Numéro du pictogramme MétéoSuisse, valeur sur 3 heures;Numero del pittogramma di MeteoSvizzera, valore su 3 ore;MeteoSwiss-Icon, weathertype, preceding 3 hours, forecast;Grafik;Graphique;Grafica;Graphics;H;0;Integer;Code
nprohihs;Hohe Bewölkung;Couverture nuageuse haute;Nuvolosità alte;High cloud cover;Sensorgestützte Wetterbeobachtung;sonde-soutenues observations du temps;sensore-sostenuti osservazioni del tempo;sensor-supported weather observation;H;2;Float;-
nprolohs;Tiefe Bewölkung;Couverture nuageuse basse;Nuvolosità basse;Low cloud cover;Sensorgestützte Wetterbeobachtung;sonde-soutenues observations du temps;sensore-sostenuti osservazioni del tempo;sensor-supported weather observation;H;2;Float;-
npromths;Mittlere Bewölkung;Couverture nuageuse moyenne;Nuvolosità medie;Medium cloud cover;Sensorgestützte Wetterbeobachtung;sonde-soutenues observations du temps;sensore-sostenuti osservazioni del tempo;sensor-supported weather observation;H;2;Float;-
ods000h0;"Diffusstrahlung; Stundenmittel";"rayonnement diffus; moyenne horaire";"Radiazione diffusa; media oraria";diffuse radiation, hourly average;Strahlung;rayonnement;radiazione;radiation;H;0;Integer;W/m²
rka150d0;"Niederschlag; Tagessumme 0 UTC - 0 UTC";"précipitations; somme du jour 0 UTC - 0 UTC";"Precipitazioni; somma giornaliera 0 UTC - 0 UTC";"Precipitation; daily total 0 UTC - 0 UTC";Niederschlag;précipitations;precipitazioni;precipitation;D;1;Float;mm
rka150p0;"Niederschlag; Tagessumme 00:00 - 24:00 Lokalzeit";"précipitations; somme du jour 00:00 - 24:00 heure locale";"Precipitazioni; somma giornaliera 00:00 - 24:00 ora locale";"Precipitation; daily total 00:00 - 24:00 local time";Niederschlag;précipitations;precipitazioni;precipitation;D;1;Float;mm
rp0003i0;Niederschlagswahrscheinlichkeit über 3 Stunden;Probabilité de précipitation sur 3 heures;Probabilità di precipitazioni su 3 ore;Probability of precipitation during 3 hours;Niederschlag;précipitations;precipitazioni;precipitation;H;0;Integer;%
rre003i0;Niederschlagssumme über 3 Stunden;"précipitations; sommation sur 3 heures";"Precipitazioni; somma su 3 ore";Total precipitation during 3 hours;Niederschlag;précipitations;precipitazioni;precipitation;H;1;Float;mm
rre150h0;"Niederschlag; Stundensumme";"Précipitations; somme horaire";"Precipitazioni; somma oraria";"Precipitation; hourly total";Niederschlag;précipitations;precipitazioni;precipitation;H;1;Float;mm
rreq10h0;"Niederschlag; Stundensumme, 10% Quantil";Précipitations, somme horaire, quantil 10%;"Precipitazioni; somma oraria, quantile 10%";"Precipitation; hourly total, 10% quantile";Niederschlag;précipitations;precipitazioni;precipitation;H;1;Float;mm
rreq10p0;"Niederschlag; Tagessumme 00:00 - 24:00 Lokalzeit, 10% Quantil";"Précipitations; somme du jour 00:00 - 24:00 heure locale, quantil 10%";"Precipitazioni; somma giornaliera 00:00 - 24:00 ora locale, quantile 10%";"Precipitation; daily total 00:00 - 24:00 local time, 10% quantile";Niederschlag;précipitations;precipitazioni;precipitation;D;1;Float;mm
rreq90h0;"Niederschlag; Stundensumme, 90% Quantil";Précipitations, somme horaire, quantil 90%;"Precipitazioni; somma oraria, quantile 90%";"Precipitation; hourly total, 90% quantile";Niederschlag;précipitations;precipitazioni;precipitation;H;1;Float;mm
rreq90p0;"Niederschlag; Tagessumme 00:00 - 24:00 Lokalzeit, 90% Quantil";"Précipitations; somme du jour 00:00 - 24:00 heure locale, quantil 90%";"Precipitazioni; somma giornaliera 00:00 - 24:00 ora locale, quantile 90%";"Precipitation; daily total 00:00 - 24:00 local time, 90% quantile";Niederschlag;précipitations;precipitazioni;precipitation;D;1;Float;mm
sre000h0;"Sonnenscheindauer; Stundensumme";"Durée d'ensoleillement; somme horaire";"Soleggiamento; somma oraria";"Sunshine duration; hourly total";Sonne;ensoleillement;soleggiamento;sunshine;H;0;Integer;min
tre200dn;"Lufttemperatur 2 m über Boden; Tagesminimum";"température de l'air à 2 m du sol; minimum journalier";"Temperatura dell'aria a 2 m; minima giornaliera";"Air temperature 2 m above ground; daily minimum";Temperatur;température;temperatura;temperature;D;1;Float;°C
tre200dx;"Lufttemperatur 2 m über Boden; Tagesmaximum";"température de l'air à 2 m du sol; maximum journalier";"Temperatura dell'aria a 2 m; massima giornaliera";"Air temperature 2 m above ground; daily maximum";Temperatur;température;temperatura;temperature;D;1;Float;°C
tre200h0;"Lufttemperatur 2 m über Boden; Stundenmittel";"température de l'air à 2 m du sol; moyenne horaire";"Temperatura dell'aria a 2 m; media oraria";"Air temperature 2 m above ground; hourly mean";Temperatur;température;temperatura;temperature;H;1;Float;°C
tre200pn;"Lufttemperatur 2 m über Boden; Tagesminimum 00:00 - 24:00 Lokalzeit";"température de l'air à 2 m du sol; minimum journalier 00:00 - 24:00 heure locale";"Temperatura dell'aria a 2 m; minima giornaliera 00:00 - 24:00 ora locale";"Air temperature 2 m above ground; daily minimum 00:00 - 24:00 local time";Temperatur;température;temperatura;temperature;D;1;Float;°C
tre200px;"Lufttemperatur 2 m über Boden; Tagesmaximum 00:00 - 24:00 Lokalzeit";"température de l'air à 2 m du sol; maximum journalier 00:00 - 24:00 heure locale";"Temperatura dell'aria a 2 m; massima giornaliera 00:00 - 24:00 ora locale";"Air temperature 2 m above ground; daily maximum 00:00 - 24:00 local time";Temperatur;température;temperatura;temperature;D;1;Float;°C
treq10h0;"Lufttemperatur 2 m über Boden; Stundenmittel, 10% Quantil";"température de l'air à 2 m du sol; moyenne horaire, quantil 10%";"Temperatura dell'aria a 2 m; media oraria, quantile 10%";"Air temperature 2 m above ground; hourly mean, 10% quantile";Temperatur;température;temperatura;temperature;H;1;Float;°C
treq90h0;"Lufttemperatur 2 m über Boden; Stundenmittel, 90% Quantil";"température de l'air à 2 m du sol; moyenne horaire, quantil 90%";"Temperatura dell'aria a 2 m; media oraria, quantile 90%";"Air temperature 2 m above ground; hourly mean, 90% quantile";Temperatur;température;temperatura;temperature;H;1;Float;°C
zprfr0hs;Nullgradgrenze, Stundenwert, Vorhersage;Isotherme zéro degré, valeur horaire;zero degree level, hourly value, forecast;zero degree level, hourly value, forecast;Temperatur;température;temperatura;temperature;H;0;Integer;m
